key,type,side,segment,superclass,nt,count,peak_activity,gf_silenced_peak
AN05B025|L|,AN05B025,L,,ascending_neuron,gaba,1,0.0005757939422072066,0.0005965738887019704
AN05B025|R|,AN05B025,R,,ascending_neuron,gaba,1,7.917747346648853e-05,7.791981712644112e-05
AN05B026|L|,AN05B026,L,,ascending_neuron,gaba,1,2.0742020583410348e-07,5.051686836412362e-07
AN05B027|L|,AN05B027,L,,ascending_neuron,gaba,1,0.0003613186747478826,0.0003843494570584503
AN05B029|L|,AN05B029,L,,ascending_neuron,gaba,1,5.460539043751378e-05,3.700524974683069e-05
AN05B035|L|,AN05B035,L,,ascending_neuron,gaba,1,0.0,0.0
AN05B035|R|,AN05B035,R,,ascending_neuron,gaba,1,0.0,0.0
AN05B036|L|,AN05B036,L,,ascending_neuron,gaba,1,2.4795834944078977e-09,1.1938937885302891e-07
AN05B036|R|T2,AN05B036,R,T2,vnc_intrinsic,gaba,1,1.1799555095257405e-09,1.1799555095257405e-09
AN05B040|L|,AN05B040,L,,ascending_neuron,gaba,1,3.570616152605547e-05,1.8427321710731495e-05
AN05B044|L|,AN05B044,L,,ascending_neuron,gaba,1,2.8137231278664492e-05,2.014010614739837e-06
AN05B044|R|,AN05B044,R,,ascending_neuron,gaba,1,0.0,0.0
AN05B045|L|,AN05B045,L,,ascending_neuron,gaba,1,0.0004912864784661471,0.00048574775062273354
AN05B045|R|,AN05B045,R,,ascending_neuron,gaba,1,0.0004140138992088163,0.00041539083585980316
AN05B046|L|,AN05B046,L,,ascending_neuron,gaba,1,0.0004250878493597426,0.00042576003196375485
AN05B048|L|,AN05B048,L,,ascending_neuron,gaba,1,0.01067888194227335,0.010806669939077076
AN05B048|R|,AN05B048,R,,ascending_neuron,gaba,1,0.00838664099863602,0.008481653786692779
AN05B049_a|L|,AN05B049_a,L,,ascending_neuron,gaba,1,0.08933863011469573,0.08909464822849775
AN05B049_a|R|,AN05B049_a,R,,ascending_neuron,gaba,1,0.08458916774021986,0.08351989491057235
AN05B049_b|L|,AN05B049_b,L,,ascending_neuron,gaba,1,0.034181911386986355,0.034027723371843045
AN05B049_b|R|,AN05B049_b,R,,ascending_neuron,gaba,1,0.05846945513083275,0.058446658433951075
AN05B049_c|L|,AN05B049_c,L,,ascending_neuron,gaba,1,0.11194270573976788,0.11081249194413532
AN05B049_c|R|,AN05B049_c,R,,ascending_neuron,gaba,1,0.016080094290879716,0.015798898574268166
AN05B050_a|L|,AN05B050_a,L,,ascending_neuron,gaba,1,0.017909981427018568,0.01798555511565828
AN05B050_a|R|,AN05B050_a,R,,ascending_neuron,gaba,1,0.0038745694437011063,0.004046609999789427
AN05B050_b|L|,AN05B050_b,L,,ascending_neuron,gaba,1,0.008215395090849837,0.008329492525368534
AN05B050_b|R|,AN05B050_b,R,,ascending_neuron,gaba,1,0.03231735342322107,0.0318754991431507
AN05B050_c|L|,AN05B050_c,L,,ascending_neuron,gaba,2,0.024125310831034502,0.023732770224090607
AN05B050_c|R|,AN05B050_c,R,,ascending_neuron,gaba,2,0.002646037200323658,0.0026286900709330025
AN05B052|L|,AN05B052,L,,ascending_neuron,gaba,2,0.0011219197371123398,0.001091187740988441
AN05B052|R|,AN05B052,R,,ascending_neuron,gaba,1,6.638457817646895e-05,7.060201672459948e-06
AN05B053|L|,AN05B053,L,,ascending_neuron,gaba,2,0.0,0.0
AN05B053|R|,AN05B053,R,,ascending_neuron,gaba,2,0.0,0.0
AN05B054_a|L|,AN05B054_a,L,,ascending_neuron,gaba,1,0.00010034412570642789,3.917789888839873e-05
AN05B054_a|R|,AN05B054_a,R,,ascending_neuron,gaba,1,7.899940007294865e-05,1.0878970413138972e-05
AN05B054_b|L|,AN05B054_b,L,,ascending_neuron,gaba,2,0.0011571348979108732,0.0011664305961344823
AN05B054_b|R|,AN05B054_b,R,,ascending_neuron,gaba,2,0.0016140863144228851,0.0016716917140189057
AN05B056|L|,AN05B056,L,,ascending_neuron,gaba,2,0.00026392894964314474,0.00028779920660443195
